Unnamed: 0,id,text,sentiment
2,805582613687713000, doctors hit campaign trail as race to medical council elections heats up  #homeopathy,neutral
3,637480203497832000, is anybody going to the radio station tomorrow to see shawn? me and my friend may go but we would like to make new friends/meet there  PPOSEMOTICONN 	,positive
4,641096279930507000, i just found out naruto didn't become the th hokage....	,neutral
5,625730917647126000," ""prince george reservist who died saturday just wanted to help people, his father tells  	",neutral
6,633292370906230000, season in the sun versi nirvana rancak gak..slow rockkk...	,positive
7,676475014070337000, if i didnt have you i'd never see the sun. #mtvstars lady gaga	,positive
8,802175075067763000, this is cute. #thisisus  ,positive
9,802160431683031000, today is the international day for the elimination of violence against women #orangetheworld #unitednations #unodc‚ä¶ ,neutral
10,636309350701658000," ""in his first game back since april , david wright went -for- with a hr, bb and three r on monday. he also made two errors at b.""	",neutral
11,623343242826743000, josh hamilton flies out to center... we are going to the bottom of the th tied at ! #nevereverquit	,neutral
14,802326968385601000, watch the trump protest that shut down parts of new york city  via ,neutral
16,665708557657075000, wanna see basse try out some dark souls ?  see the vid below:  dark souls ii the last giant. st. boss  via 	,neutral
17,636867553399341000, my  hour shift will consist of me thinking about ed sheeran tomorrow	,positive
18,632977936187027000, seriously debating going to see paper towns on my own tomorrow	,neutral
19,802361154932768000,   they will pay for this on the backs of the senior citizens medicare services. shame on them.,negative
20,665361065090416000, stop posting this picture. it's from january after the charlie hebdo attacks not from tonight 	,negative
21,639228912904572000, david price and the toronto blue jays offense 	,neutral
23,623653268913291000, buying a scuba suit for the underwater scenes in sharknado tomorrow	,neutral
25,638182996210810000, all while kanye west carried on with his speech!!! #vmas  	,neutral
26,802142972087299000, the  exporting british values since . this is what liberty and democracy look like. #libya ,neutral
27,802334063419944000,   a very good description of maduro: pin head. thank you.,positive
32,639201536648847000, new || niall at the u.s. open today today (sept ) # 	,neutral
33,805640382033690000,   why do you cover homeopathy?,neutral
34,805669056393183000," assad troops have taken  of rebel-held aleppo, russia says  ",neutral
35,805671581636825000, from death to death. no where else to go. #aleppo #syria #standwithaleppo ,negative
38,639904431992111000,  i'm not going to own something that's not true. some muslims may be criminals but that doesn't mean islam is evil.	,neutral
39,639378479050555000,  hi guys. will you have the new iron maiden vinyl in tomorrow?	,neutral
40,802350369292460000, . directly addressing american people. info on  website and news. [video] ,neutral
41,681722950270234000, five years before leaving the planet sun ra premiered a tone poem 'new york town' featuring sections like 'twilight in central park'.	,neutral
42,677924298867257000, fun friday mashup ---&gt; nelly's hot in here mashed with bee gees' stayin alive: 	,positive
43,638915723948126000, #mntwins rally to beath the white sox - tuesday night  	,neutral
44,633131867731066000, teens/kids saying that old dude 'paul mccartney' may have a chance in the music biz! hahaha!!! sooo green these... 	,neutral
45,630622412703404000," ""its officially pga week, dustin johnson was nd here last time, he's our pick... 	",neutral
46,802177212443164000, please donate whatever you can!  | ,neutral
47,636402427617517000, happy birthday to my dude ! jason aldean bout to be live come the th	,positive
48,802289132554727000,  here  this should end the problems with $ laundering & currency conversion problems with  & #china,neutral
49,801414464490864000, #gilmoregirlstop. luke. emily gilmore. sukie. paris,neutral
50,640323880117235000," ""i'm going to  at fabrique in milan, italy - apr  	",neutral
52,637469038650634000," ""u - concert in the park.. long week, chillin' with the family. th grade flashback. 	",positive
53,638325418056028000, fact: if you listen to zac brown band on a gloomy day the sun comes out	,positive
54,624583247645667000, happy friday! just because national hot dog day is over doesn't mean you cant still have hot dog recipe fun with... 	,positive
55,802378445623857000, ivanka playing flotus? --pres.-elect drumpf: ivanka drumpf will move into white house ‚äòto fill melania‚äôs vacancy‚äô ,neutral
56,802314709106126000, if tim duncan played one more season we would've been an able to call him  savage üòî...,neutral
57,669480117719179000, may nakita akong sos at the vamps shirts! i want i want i want!	,positive
58,640796198253764000," ""scotland v germany tonight; foo fighters tomorrow, and pile of work to get through in the meantime... who's doing the coffee run???""	",neutral
59,636383822674722000, the only reason i know who john cena is is because my bully in rd grade wrote his name in sharpie all over her backpack	,neutral
61,665346802158211000,  picture is from january - after the charlie hebdo attack. 	,neutral
62,637417828635709000, tristan mcdaniel scores from one yard out to give milan the - lead on humboldt. : left in st	,neutral
63,802394868697956000,  we now wait for maduro's turn,negative
64,628291438560808000," ""tor beats min in david price's debut. jays move into tie for nd wild card with twins, o's now . gb.""	",neutral
65,631950039338889000," ""if you could win a golf tournament on the st day, then dustin johnson would have  majors by now.""	",positive
66,633877242284634000, the undertaker is gonna tombstone the shit out of brock lesnar on sunday.	,neutral
67,805652259560366000, persuasive speech on depression  pros and cons for the death penalty,neutral
69,640683286910496000, see you on saturday  !!    days  hours  minutes  seconds until     ed sheeran in atl  #countdown 	,positive
70,802203589586337000, the cheeto nazi is mad that is fat ass looks like a tub of curdled orange mayo in pictures? oh well ,negative
71,805673014373347000, so my research paper is on minimum wage. there is literally so much i could write abt this subject but that's what's making it so hard üò≠,neutral
73,802093621373759000, #poroshenko focused that #ukraine step by step implements #refrom program,neutral
74,802204103942151000, vid hide your valuables inside a hollowed out decorative candle     #tpp #blacklivesmatter #atr,neutral
75,633624698140528000," ""hillary clinton, caitlyn jenner and nobel peace prize winner malala yousafzai will kick off the th season of... 	",neutral
76,802300085866332000,  crazy things deep learning and topological data analysis can do with your data#nitaipartners #bigdata #dataminin‚ä¶ ,neutral
77,632409516064137000," ""   that i may have an idea , you have written all christians and god totally off not willingtothink""	",negative
78,671789727901753000, yall fuckin with it? kendrick lamar - black friday by   on #soundcloud	,neutral
79,637890891806478000,  *wwe monday might raw because of the goat john cena	,neutral
80,802352391391690000," it's been a hard year: in addition to losing leonard cohen and david bowie in , californians also lost peter tosh's ""legalize it"". rip!",negative
82,677266449530904000, my sushi coworkers are apparently all going to la on the th and i'm somehow stuck covering for all of them. what about my star wars day?	,negative
83,641128360480014000, ffs fell asleep with an open position on murray during the th set.	,neutral
84,631822350732824000," ""the th hole seems to be a good birdie hole. dustin johnson birdies the th, his st hole to move to - #pgachamp""	",positive
86,635538366084313000," ""i think frank ocean should release  on november, he's music is great for the summer.   ""	",positive
88,640579138689085000," ""riverside yoga on race street pier was an awesome way to start my day. going to get a long run in, and then it's sunday funday tonight.""	",positive
89,801375732970781000, reporter visiting islamic state terrirory. #mosuloffensive #mosul #isis #iraq #syria #war #islamicstate #funny ,neutral
90,802189154872388000,  thankfully we all had a nice and peaceful thanksgiving. because we are all #stillwithher,positive
92,637327001498488000, win tickets to see ms. janet jackson live this afternoon with richard ryder!    janet jackson live september  at... 	,positive
94,641488027848732000, so the #usa is awesome because all #republicans are having gay marriages tomorrow!  #freedomofspeech	,positive
95,665267009773408000,   thanks curtis! hope you have an awesome friday the th!	,positive
97,631749334913036000, the language may be different but kpop's genres with western musics are just the same. stop acting like it's from outer space.	,negative
99,624051435576131000," "" seriously. if you two are still in asheville on friday, i work at dunkin from -. west asheville. i make a mean coolatta.""	",neutral
101,624054852126154000, i hope sharknado  starts with  saving april #aprillives	,positive
102,802122310799003000,    they did but they're gone now! #hatchimals,neutral
103,637234794078728000,  and it has some cracking rd party downloadable games too. ps is more of a long-term console with okish games at the mo imo	,positive
104,802368035340357000,  is this supposed to look like the electoral college map?  need to point that out to the #leftists.,negative
105,626378505916297000, semper entertainment brings you nirvana: where time stands still with the best djs in metro this august !!! at... 	,neutral
106,805586036604555000, you're such a weird guy. euthanasia = suicide for all. marriage equality = everyone marries a goat. safe schools =‚ä¶ ,negative
107,802139302956301000,"  ur ceo was on #gma and  said that there would be plenty of #hatchimals and ur kingston,ma said they didn't",neutral
109,627853873097646000," ""on the evening of july  , paul mccartney was introduced to john lennon for the first time.""	",neutral
110,802381543041744000,"  idiot, trump had meetings for the potus transition. obama just trying to improve his shi--- image with our military.",negative
112,630099176152563000," ""if brendan ryan were on the dodgers w/ david price the opposing pitcher, and purposely swung at a - fastball w/ st and rd and down ...""	",neutral
115,639022186829844000, watch her stock go up sept th. how carly fiorina earned a spot on the big stage at the gop debate 	,positive
116,622824924042915000, paul dunne should have said that he will just imagine the ball is tom rinaldi's head on the first tee tomorrow. #theopen	,neutral
119,675367020058161000,  what's wrong with the answer? you may applaud rahul gandhi for his open farce! i'm happy with a pm who's not a hypocrite!	,neutral
120,805668417672015000,"  help stop the damn illegal, foreign invasion of america. why can't america have borders & enforcement of immigration laws?",negative
121,805705315991818000,"  ""british values""?  what are they?  fear of foreigners?  blaming immigration for all our woes?  i think we should be told.",neutral
122,802206310909542000, üòá (vine by #thewalkingdead) ,positive
123,679629343736336000, a long read but worth it. great insight into power &amp; control of ira in newry. chilling.  	,positive
124,802205876069145000," #yemen another $, lost or damaged - hilarious  ",negative
125,805665888896765000, look: soldiers push vehicle with fidel castro's ashes after it breaks down in procession  ,neutral
127,639893430026534000, next thursday is going to be the greatest day ever! both my teachers already cancelled class and tom brady leads the pats out of the tunnel	,positive
129,674621641289293000," ""friday, december  will also be star wars day on 's politics hour. guests will be encouraged to join the show in costume.""	",positive
131,802158003583643000, ahhhhh this is amazing! i cannot waitüë∏üèω #beautyandthebeast üíôüíõ ,positive
132,626071559808004000," ""if v leave yakub today, tomorrow again he ll kill  innocent people. what kind of justice,is it?#yakubdebate""	",negative
133,805646030591164000, hey pa can you um let me register for a medical marijuana identification card plz also gets some dispensaries thanks  happy ,positive
134,802170622541528000,  libby #stillwithher hi congrats your picked go to our site in description,neutral
135,641257235893612000," ""liverpool echo: martin odegaard: i spoke with liverpool fc, but real madrid the best choice  #lfc""	",neutral
136,802372546649800000," when you're a trump, critics have the opposite effect. melania avenged by bigger fashion designers than m. obama's. ",neutral
